Categoria,Marca,Modelo,Ano,Preço,Nota Geral,Conforto/Acabamento,Consumo,Custo Benefício,Design,Dirigibilidade,Manutenção,Performance
Hatch,Chevrolet,Onix,2021,58590.0,8.2,8.2,8.3,8.0,8.5,8.6,7.3,8.3
Hatch,Volkswagen,Gol,2021,48090.0,8.1,7.6,8.9,8.1,7.6,8.3,9.1,7.9
Hatch,Hyundai,HB20,2021,47990.0,7.5,7.7,6.6,7.4,8.3,7.5,7.4,7.6
Hatch,Ford,Ka,2021,49890.0,8.1,7.7,7.4,7.8,8.5,9.0,7.6,8.5
Hatch,Renault,Kwid,2021,34990.0,6.1,5.0,8.3,5.3,6.9,5.8,5.1,6.0
Hatch,Fiat,Uno,2021,45890.0,8.3,8.2,8.2,8.1,8.4,8.9,8.6,7.8
Hatch,Fiat,Mobi,2021,38990.0,8.1,7.8,8.7,7.7,8.4,7.9,8.5,7.5
Hatch,Volkswagen,Up!,2020,49590.0,8.7,8.0,8.6,8.1,8.4,9.2,8.6,9.3
Hatch,Volkswagen,Fox,2021,54060.0,7.5,7.1,7.4,7.2,8.2,8.5,6.7,8.1
Hatch,Fiat,Argo,2021,53990.0,8.6,8.6,8.6,7.9,9.3,8.9,8.2,8.3
Hatch,Volkswagen,Polo,2021,58750.0,7.7,7.0,7.6,7.1,8.5,8.3,7.4,7.8
Hatch,Toyota,Etios Hatch,2021,55390.0,8.5,8.4,8.8,8.7,7.7,8.9,8.6,8.4
Hatch,Peugeot,208,2021,74990.0,8.6,9.3,9.0,8.1,9.7,8.9,8.0,7.9
Hatch,Nissan,March,2020,51490.0,8.2,8.5,8.5,8.0,8.3,8.0,8.7,7.5
Hatch,Caoa Chery,QQ,2020,35590.0,8.2,7.8,8.8,8.5,8.5,8.2,8.2,8.2
Hatch,Ford,New Fiesta Hatch,2019,54690.0,9.4,9.6,9.2,9.3,9.8,9.8,8.8,9.4
Hatch,Citroën,C3,2021,62090.0,8.0,8.5,7.0,7.0,9.0,8.5,7.5,7.0
Sedan Compacto,Chevrolet,Prisma,2019,49590.0,9.0,8.9,8.6,8.9,9.6,9.2,8.9,8.7
Sedan Compacto,Volkswagen,Voyage,2021,56350.0,7.7,7.4,6.9,6.8,8.6,8.1,7.7,8.1
Sedan Compacto,Honda,City,2020,62800.0,9.0,9.5,8.7,8.5,9.8,9.2,8.8,8.9
Sedan Compacto,Hyundai,HB20S,2021,56690.0,8.7,9.0,8.3,8.8,9.1,9.1,8.4,8.2
